Job_ID,Job_Title,Company,Location,Experience_Years,Education,Employment_Type,Salary_Min_LPA,Salary_Max_LPA,Required_Skills,Soft_Skills,Programming_Languages,Technologies,Industry,Work_Mode,Job_Posting_Date,Candidate_ID,Resume_Skills,Certifications,Target_Role
JOB0025,Data Analyst,CloudPeak Systems,Noida,3,B.Tech/B.E.,Internship,5.8,8.8,"Python, SQL, Excel, Power BI, Tableau, Statistics, Databricks, Git","Collaboration, Time Management, Critical Thinking","Python, SQL","Excel, Spark, Databricks",Manufacturing,Hybrid,2026-08-24,CAND0025,"Python, Databricks, Power BI, Statistics, Git",Microsoft Power BI,Data Engineer
JOB0026,DevOps Engineer,CloudPeak Systems,Gurugram,7,B.Tech/B.E.,Contract,10.7,12.5,"Linux, Docker, Kubernetes, AWS, Git, CI/CD, Excel, Databricks","Time Management, Analytical Thinking, Problem Solving",R,"Jenkins, TensorFlow, Spark",IT Services,Remote,2026-06-16,CAND0026,"AWS, Excel, Databricks, Git, CI/CD, Docker",Google Data Analytics,Data Analyst
JOB0027,Data Scientist,CodeCraft India,Chennai,3,Master's Degree,Internship,9.3,12.9,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Kubernetes, Jira","Collaboration, Analytical Thinking, Leadership","Python, SQL","Jenkins, Spark, PyTorch",Banking,Remote,2026-06-06,CAND0027,"Jira, Kubernetes, Python, Statistics, Machine Learning, NumPy",Microsoft Power BI,Data Scientist
JOB0028,Web Developer,InnoSoft Technologies,Chennai,2,B.Tech/B.E.,Contract,5.8,8.2,"HTML, CSS, JavaScript, React, Git, REST API, Jenkins, Spark","Communication, Problem Solving, Critical Thinking",JavaScript,"Power BI, Databricks, Spark",EdTech,Remote,2026-06-01,CAND0028,"JavaScript, CSS, Jenkins, React, Spark, Git, REST API",Google Data Analytics,Web Developer
JOB0029,AI Engineer,DataSphere Analytics,Kolkata,4,Bachelor's Degree,Full-time,10.4,13.2,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, Azure, Power BI","Problem Solving, Time Management, Communication",Python,"Azure, Tableau, Spark",Consulting,Remote,2026-09-09,CAND0029,"Python, Deep Learning, TensorFlow, Power BI",Azure Fundamentals,Data Scientist
JOB0030,DevOps Engineer,CloudPeak Systems,Hyderabad,3,B.Tech/B.E.,Internship,8.4,12.5,"Linux, Docker, Kubernetes, AWS, Git, CI/CD, Jenkins, SQL","Teamwork, Problem Solving, Communication",SQL,"Docker, Kubernetes, Jenkins",Telecom,Hybrid,2026-02-11,CAND0030,"Git, SQL, Jenkins, Linux, CI/CD, AWS",AWS Certified,Software Developer
JOB0031,Data Analyst,Quantix Systems,Hyderabad,5,B.Tech/B.E.,Contract,7.1,10.0,"Python, SQL, Excel, Power BI, Tableau, Statistics, React, Docker","Problem Solving, Teamwork, Communication","Python, SQL","AWS, Excel, TensorFlow",Telecom,Remote,2026-02-28,CAND0031,"Tableau, React, Statistics, Docker",Azure Fundamentals,Software Developer
JOB0032,Web Developer,TechNova Solutions,Pune,3,B.Tech/B.E.,Internship,5.7,8.4,"HTML, CSS, JavaScript, React, Git, REST API, SQL, Azure","Communication, Time Management, Critical Thinking","JavaScript, SQL","Power BI, Excel, Jira",E-Commerce,Hybrid,2026-05-09,CAND0032,"Azure, React, HTML, Git, REST API",Azure Fundamentals,Data Engineer
JOB0033,AI Engineer,CloudPeak Systems,Chennai,10,Master's Degree,Internship,13.0,16.9,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, Git, Kubernetes","Critical Thinking, Time Management, Analytical Thinking",Python,"Docker, Jira, Excel",Retail,Onsite,2026-02-23,CAND0033,"Kubernetes, Deep Learning, TensorFlow",Microsoft Power BI,Business Analyst
JOB0034,Data Scientist,BlueOrbit Technologies,Mumbai,2,B.Tech/B.E.,Contract,9.2,11.9,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Git, Spark","Collaboration, Problem Solving, Critical Thinking","Python, SQL","Kubernetes, Jenkins, Databricks",FinTech,Onsite,2026-09-13,CAND0034,"Python, Statistics, NumPy, Pandas, Git, Spark, Machine Learning",IBM Data Science,Cloud Engineer
JOB0035,DevOps Engineer,NextGen Digital,Noida,2,Master's Degree,Contract,7.3,10.0,"Linux, Docker, Kubernetes, AWS, Git, CI/CD, Jenkins, Spark","Leadership, Critical Thinking, Time Management",SQL,"Docker, Azure, React",Retail,Remote,2026-09-18,CAND0035,"Docker, AWS, Linux, Spark",Google Data Analytics,AI Engineer
JOB0036,Data Scientist,BlueOrbit Technologies,Ahmedabad,2,Master's Degree,Contract,8.9,11.2,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Spark, Jira","Analytical Thinking, Adaptability, Leadership","Python, SQL","Databricks, PyTorch, Azure",Healthcare,Remote,2026-03-18,CAND0036,"NumPy, Statistics, Machine Learning",Microsoft Power BI,DevOps Engineer
JOB0037,Software Developer,BlueOrbit Technologies,Pune,2,Any Graduate,Contract,6.5,10.7,"Java, Python, SQL, Git, REST API, OOP, Databricks, Tableau","Communication, Problem Solving, Leadership","Java, Python, SQL","Jira, Git, AWS",FinTech,Hybrid,2026-02-21,CAND0037,"Databricks, OOP, Tableau, Python, Git, Java",AWS Certified,ML Engineer
JOB0038,Business Analyst,InnoSoft Technologies,Pune,7,Master's Degree,Full-time,8.7,12.8,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, Python, TensorFlow","Teamwork, Critical Thinking, Collaboration","SQL, Python","Jenkins, TensorFlow, Power BI",IT Services,Hybrid,2026-05-28,CAND0038,"Requirements Analysis, TensorFlow, Python, Tableau, Excel, Power BI",None,Business Analyst
JOB0039,Web Developer,CodeCraft India,Bengaluru,3,B.Tech/B.E.,Contract,5.6,8.3,"HTML, CSS, JavaScript, React, Git, REST API, Jira, C++","Time Management, Critical Thinking, Problem Solving","JavaScript, C++","Git, Power BI, Excel",Manufacturing,Hybrid,2026-09-12,CAND0039,"JavaScript, CSS, HTML, Git",IBM Data Science,Web Developer
JOB0040,Cloud Engineer,CodeCraft India,Chennai,3,Any Graduate,Contract,8.2,11.5,"AWS, Azure, Docker, Kubernetes, Linux, Python, React, Tableau","Time Management, Communication, Adaptability",Python,"Git, Docker, TensorFlow",IT Services,Remote,2026-07-15,CAND0040,"Linux, Kubernetes, Docker, Azure, React, Tableau",IBM Data Science,Cloud Engineer
JOB0041,Data Analyst,BlueOrbit Technologies,Mumbai,8,Any Graduate,Contract,7.9,11.8,"Python, SQL, Excel, Power BI, Tableau, Statistics, C++, JavaScript","Problem Solving, Teamwork, Collaboration","Python, SQL, C++, JavaScript","PyTorch, Jenkins, Docker",E-Commerce,Onsite,2026-06-08,CAND0041,"Statistics, SQL, JavaScript, C++, Excel, Power BI, Python",Google Data Analytics,Data Analyst
JOB0042,Cloud Engineer,Quantix Systems,Chennai,4,Bachelor's Degree,Contract,8.6,10.6,"AWS, Azure, Docker, Kubernetes, Linux, Python, SQL, Excel","Communication, Time Management, Critical Thinking","Python, SQL","Tableau, Kubernetes, PyTorch",EdTech,Remote,2026-07-23,CAND0042,"Linux, Python, Docker, AWS, Kubernetes, Excel",Microsoft Power BI,Cloud Engineer
JOB0043,Business Analyst,TechNova Solutions,Mumbai,3,BCA/MCA,Contract,6.6,10.9,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, PyTorch, React","Teamwork, Collaboration, Critical Thinking",SQL,"Databricks, Spark, AWS",Consulting,Hybrid,2026-03-13,CAND0043,"Tableau, Requirements Analysis, Excel, React, Power BI",AWS Certified,Business Analyst
JOB0044,Cloud Engineer,InnoSoft Technologies,Gurugram,6,Master's Degree,Full-time,9.3,12.0,"AWS, Azure, Docker, Kubernetes, Linux, Python, JavaScript, Jira","Analytical Thinking, Teamwork, Collaboration","Python, JavaScript","PyTorch, Spark, Git",Banking,Onsite,2026-07-09,CAND0044,"Jira, Linux, Kubernetes",Microsoft Power BI,Cloud Engineer
JOB0045,Web Developer,Quantix Systems,Hyderabad,8,Any Graduate,Full-time,8.7,10.5,"HTML, CSS, JavaScript, React, Git, REST API, Docker, Azure","Leadership, Analytical Thinking, Adaptability",JavaScript,"AWS, Excel, React",IT Services,Hybrid,2026-02-05,CAND0045,"HTML, Azure, JavaScript, CSS",Google Data Analytics,Web Developer
JOB0046,ML Engineer,CloudPeak Systems,Delhi,1,Bachelor's Degree,Full-time,8.8,10.4,"Python, Machine Learning, TensorFlow, PyTorch, Docker, SQL, Jenkins, Java","Adaptability, Teamwork, Analytical Thinking","Python, SQL, Java","Tableau, Kubernetes, Jira",Banking,Remote,2026-01-09,CAND0046,"SQL, Jenkins, Machine Learning",Azure Fundamentals,DevOps Engineer
JOB0047,Data Scientist,BlueOrbit Technologies,Pune,2,Bachelor's Degree,Contract,8.7,12.4,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Databricks, JavaScript","Problem Solving, Teamwork, Critical Thinking","Python, SQL, JavaScript","TensorFlow, React, Git",Telecom,Remote,2026-09-09,CAND0047,"NumPy, Pandas, Statistics, Python, JavaScript, SQL, Machine Learning",IBM Data Science,Data Scientist
JOB0048,Business Analyst,BlueOrbit Technologies,Noida,3,Master's Degree,Internship,6.6,8.4,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, Python, Jenkins","Teamwork, Analytical Thinking, Leadership","SQL, Python","PyTorch, Git, TensorFlow",Banking,Onsite,2026-06-23,CAND0048,"Tableau, Jenkins, Python",IBM Data Science,Software Developer
JOB0049,AI Engineer,Vertex AI,Mumbai,7,BCA/MCA,Internship,11.2,13.0,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, AWS, C++","Time Management, Analytical Thinking, Communication","Python, C++","React, Spark, Azure",E-Commerce,Remote,2026-07-01,CAND0049,"Deep Learning, PyTorch, Python, AWS, C++",Microsoft Power BI,Data Scientist
JOB0050,Software Developer,NextGen Digital,Chennai,7,BCA/MCA,Full-time,8.6,12.4,"Java, Python, SQL, Git, REST API, OOP, Azure, Excel","Problem Solving, Collaboration, Time Management","Java, Python, SQL","Git, Docker, Tableau",E-Commerce,Remote,2026-05-20,CAND0050,"Git, Azure, Excel, REST API, Java, SQL, Python",IBM Data Science,Software Developer
JOB0051,Data Analyst,CloudPeak Systems,Bengaluru,4,Any Graduate,Full-time,6.2,9.1,"Python, SQL, Excel, Power BI, Tableau, Statistics, TensorFlow, Databricks","Teamwork, Time Management, Leadership","Python, SQL","Git, Docker, Kubernetes",Telecom,Hybrid,2026-01-27,CAND0051,"Statistics, Excel, Databricks, TensorFlow",Microsoft Power BI,Data Analyst
JOB0052,Web Developer,InnoSoft Technologies,Delhi,1,B.Tech/B.E.,Full-time,5.0,7.3,"HTML, CSS, JavaScript, React, Git, REST API, Docker, R","Time Management, Collaboration, Problem Solving","JavaScript, R","Tableau, Power BI, Kubernetes",Consulting,Onsite,2026-01-04,CAND0052,"R, Git, REST API, JavaScript, HTML, React, CSS",Google Data Analytics,Web Developer
JOB0053,Data Engineer,Vertex AI,Delhi,4,Bachelor's Degree,Contract,9.1,11.7,"Python, SQL, Spark, AWS, Docker, ETL, Git, Jenkins","Communication, Analytical Thinking, Teamwork","Python, SQL","Excel, React, Kubernetes",Banking,Onsite,2026-07-27,CAND0053,"Python, AWS, Jenkins, Git, ETL, SQL",Microsoft Power BI,DevOps Engineer
JOB0054,Data Scientist,InnoSoft Technologies,Chennai,4,BCA/MCA,Internship,9.4,12.1,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Kubernetes, Jira","Problem Solving, Leadership, Communication","Python, SQL","AWS, TensorFlow, Azure",E-Commerce,Remote,2026-09-19,CAND0054,"Statistics, SQL, Machine Learning, Kubernetes, Python",Google Data Analytics,Data Scientist
JOB0055,Data Scientist,NextGen Digital,Kolkata,3,Bachelor's Degree,Contract,9.0,12.2,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, PyTorch, Java","Collaboration, Teamwork, Problem Solving","Python, SQL, Java","Kubernetes, Databricks, Power BI",IT Services,Hybrid,2026-06-05,CAND0055,"Statistics, PyTorch, Java, Machine Learning, SQL, Pandas, Python",AWS Certified,AI Engineer
JOB0056,Data Scientist,Quantix Systems,Bengaluru,3,Bachelor's Degree,Contract,9.1,13.5,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, AWS, JavaScript","Teamwork, Analytical Thinking, Critical Thinking","Python, SQL, JavaScript","Tableau, Spark, Git",E-Commerce,Onsite,2026-09-01,CAND0056,"JavaScript, AWS, NumPy",Google Data Analytics,Software Developer
JOB0057,AI Engineer,DataSphere Analytics,Ahmedabad,4,Master's Degree,Contract,9.9,12.5,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, Java, R","Time Management, Problem Solving, Critical Thinking","Python, Java, R","Tableau, React, Git",E-Commerce,Hybrid,2026-06-18,CAND0057,"Java, TensorFlow, Deep Learning, PyTorch, Python",AWS Certified,AI Engineer
JOB0058,Data Engineer,AlphaByte Labs,Delhi,5,B.Tech/B.E.,Full-time,8.8,12.0,"Python, SQL, Spark, AWS, Docker, ETL, PyTorch, Excel","Analytical Thinking, Critical Thinking, Teamwork","Python, SQL","Azure, AWS, Jira",FinTech,Hybrid,2026-01-10,CAND0058,"Spark, ETL, PyTorch, Docker, Python",None,Data Engineer
JOB0059,Cloud Engineer,AlphaByte Labs,Hyderabad,2,Master's Degree,Internship,8.4,10.3,"AWS, Azure, Docker, Kubernetes, Linux, Python, Tableau, Databricks","Time Management, Critical Thinking, Teamwork",Python,"Spark, Azure, TensorFlow",Manufacturing,Onsite,2026-07-30,CAND0059,"Docker, Azure, Tableau, Linux, Python, Databricks",AWS Certified,Cloud Engineer
JOB0060,DevOps Engineer,Quantix Systems,Pune,6,Any Graduate,Full-time,10.2,13.2,"Linux, Docker, Kubernetes, AWS, Git, CI/CD, JavaScript, C++","Time Management, Teamwork, Adaptability","JavaScript, C++","AWS, TensorFlow, Kubernetes",Retail,Onsite,2026-07-10,CAND0060,"Kubernetes, JavaScript, Docker, Git, CI/CD, AWS",Microsoft Power BI,Data Analyst
JOB0061,Data Scientist,AlphaByte Labs,Bengaluru,7,B.Tech/B.E.,Full-time,11.4,14.1,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Kubernetes, Databricks","Time Management, Critical Thinking, Analytical Thinking","Python, SQL","Jira, AWS, Excel",Manufacturing,Hybrid,2026-02-20,CAND0061,"Statistics, SQL, Pandas, Python, Machine Learning, NumPy",Azure Fundamentals,Data Analyst
JOB0062,Data Analyst,DataSphere Analytics,Pune,2,Master's Degree,Internship,6.0,9.1,"Python, SQL, Excel, Power BI, Tableau, Statistics, TensorFlow, AWS","Collaboration, Communication, Analytical Thinking","Python, SQL","Spark, React, Azure",E-Commerce,Hybrid,2026-08-23,CAND0062,"TensorFlow, Python, Excel, SQL, Statistics, AWS, Power BI",Microsoft Power BI,Software Developer
JOB0063,Data Analyst,NextGen Digital,Mumbai,4,BCA/MCA,Full-time,6.0,9.5,"Python, SQL, Excel, Power BI, Tableau, Statistics, Databricks, PyTorch","Analytical Thinking, Leadership, Collaboration","Python, SQL","Git, Databricks, Tableau",Telecom,Remote,2026-07-11,CAND0063,"Statistics, Python, Tableau, PyTorch, Databricks, SQL, Excel",AWS Certified,Data Analyst
JOB0064,ML Engineer,InnoSoft Technologies,Mumbai,4,B.Tech/B.E.,Full-time,10.3,12.3,"Python, Machine Learning, TensorFlow, PyTorch, Docker, SQL, Tableau, Spark","Analytical Thinking, Time Management, Critical Thinking","Python, SQL","Docker, Jira, Spark",Manufacturing,Hybrid,2026-05-31,CAND0064,"Spark, SQL, Machine Learning, Tableau, Python, TensorFlow",None,ML Engineer
JOB0065,Software Developer,CloudPeak Systems,Gurugram,7,Master's Degree,Contract,8.1,11.6,"Java, Python, SQL, Git, REST API, OOP, React, Excel","Collaboration, Time Management, Adaptability","Java, Python, SQL","Tableau, Jenkins, Docker",FinTech,Hybrid,2026-06-23,CAND0065,"Python, React, SQL, Git, REST API",Azure Fundamentals,AI Engineer
JOB0066,ML Engineer,NextGen Digital,Mumbai,1,Bachelor's Degree,Internship,8.3,10.7,"Python, Machine Learning, TensorFlow, PyTorch, Docker, SQL, Excel, Spark","Adaptability, Analytical Thinking, Time Management","Python, SQL","Excel, Jenkins, Git",E-Commerce,Onsite,2026-08-11,CAND0066,"Excel, Machine Learning, SQL, PyTorch, TensorFlow, Spark",Google Data Analytics,Data Analyst
JOB0067,DevOps Engineer,BlueOrbit Technologies,Pune,1,Any Graduate,Full-time,7.2,10.6,"Linux, Docker, Kubernetes, AWS, Git, CI/CD, JavaScript, Tableau","Collaboration, Analytical Thinking, Leadership",JavaScript,"PyTorch, Git, TensorFlow",Healthcare,Onsite,2026-07-10,CAND0067,"JavaScript, Git, Linux, Tableau, Docker",None,AI Engineer
JOB0068,ML Engineer,DataSphere Analytics,Gurugram,3,B.Tech/B.E.,Internship,9.5,11.8,"Python, Machine Learning, TensorFlow, PyTorch, Docker, SQL, C++, Jenkins","Critical Thinking, Teamwork, Adaptability","Python, SQL, C++","Git, Jira, PyTorch",Banking,Remote,2026-03-11,CAND0068,"Jenkins, Machine Learning, Docker, TensorFlow, PyTorch",None,ML Engineer
JOB0069,Cloud Engineer,BlueOrbit Technologies,Mumbai,2,BCA/MCA,Internship,7.5,11.1,"AWS, Azure, Docker, Kubernetes, Linux, Python, Jira, R","Analytical Thinking, Critical Thinking, Adaptability","Python, R","Spark, AWS, React",FinTech,Onsite,2026-05-02,CAND0069,"Python, Linux, Azure, AWS",AWS Certified,Cloud Engineer
JOB0070,Data Engineer,Quantix Systems,Kolkata,3,B.Tech/B.E.,Full-time,8.3,11.5,"Python, SQL, Spark, AWS, Docker, ETL, C++, Jenkins","Adaptability, Communication, Collaboration","Python, SQL, C++","Tableau, Spark, AWS",EdTech,Onsite,2026-03-07,CAND0070,"ETL, Jenkins, Python, AWS",Google Data Analytics,AI Engineer
JOB0071,Business Analyst,NextGen Digital,Kolkata,8,Any Graduate,Full-time,8.7,11.1,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, React, Databricks","Collaboration, Problem Solving, Time Management",SQL,"React, AWS, Jira",Telecom,Remote,2026-03-06,CAND0071,"Communication, SQL, Requirements Analysis",Azure Fundamentals,Cloud Engineer
